Title: Empirical limb-darkening coefficients & transit parameters of known
       exoplanets from TESS
Authors: Jayshil A. Patel and Néstor Espinoza
Table: SPAM limb darkening coefficients calculated using different methods
       for quadratic law;
================================================================================
Byte-by-byte Description of file: spam_ldc_ascii_mrt.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1- 8  A8     ---    name         Name of the host star                         
10-13  F4.2   ---    u1_code_ata  [0.16/0.58] u1 from EJ15 ATLAS                
15-18  F4.2   ---    u2_code_ata  [0.06/0.47] u2 from EJ15 ATLAS                
20-23  F4.2   ---    u1_code_pho  [0.17/0.55] u1 from EJ15 PHOENIX              
25-28  F4.2   ---    u2_code_pho  [0.09/0.47] u2 from EJ15 PHOENIX              
30-34  F5.2   ---    u1_cla_ata   [-0.09/0.55] u1 from C17 ATLAS                
36-40  F5.2   ---    u2_cla_ata   [-0.01/0.5] u2 from C17 ATLAS                 
42-45  F4.2   ---    u1_cla_pho   [0.16/0.54] u1 from C17 PHOENIX               
47-50  F4.2   ---    u2_cla_pho   [0.11/0.47] u2 from C17 PHOENIX               
52-55  F4.2   ---    u1_cla_pho_r [0.16/0.54] u1 from C17 PHOENIX, with r-method
57-60  F4.2   ---    u2_cla_pho_r [0.11/0.47] u2 from C17 PHOENIX, with r-method
--------------------------------------------------------------------------------
Notes: EJ15 means the LDCs calculated using the method by Espinoza & Jordan 
       (2015) and C17 implies the tabulated values from Claret (2017), with 
       their r-method (C17r) and q-method (C17q) when using phoenix models.
--------------------------------------------------------------------------------
CoRoT-32 0.24 0.32 0.37 0.16  0.24  0.33 0.25 0.34 0.25 0.34
WASP-92  0.27 0.23 0.35 0.16  0.27  0.23 0.35 0.18 0.35 0.18
WASP-105 0.48 0.14 0.46 0.13  0.47  0.14 0.46 0.14 0.46 0.14
TOI-237  0.24 0.33 0.24 0.33 -0.08  0.11 0.23 0.32 0.23 0.32
HAT-P-34 0.21 0.31 0.37 0.14  0.21  0.31 0.35 0.17 0.35 0.17
WASP-72  0.21 0.33 0.25 0.35  0.22  0.33 0.26 0.35 0.26 0.35
HATS-66  0.19 0.30 0.36 0.14  0.20  0.30 0.35 0.17 0.35 0.17
HATS-25  0.34 0.21 0.41 0.14  0.35  0.21 0.40 0.16 0.40 0.16
TOI-1235 0.35 0.40 0.34 0.40  0.36  0.41 0.34 0.39 0.34 0.39
WASP-31  0.27 0.25 0.36 0.16  0.26  0.25 0.34 0.19 0.34 0.19
WASP-78  0.23 0.30 0.37 0.14  0.22  0.30 0.37 0.17 0.37 0.17
HATS-43  0.46 0.14 0.46 0.13  0.45  0.15 0.46 0.14 0.46 0.14
WASP-91  0.47 0.14 0.49 0.12  0.48  0.13 0.47 0.14 0.47 0.14
WASP-106 0.31 0.21 0.39 0.14  0.31  0.20 0.38 0.16 0.38 0.16
WASP-132 0.51 0.11 0.50 0.11  0.51  0.11 0.50 0.12 0.50 0.12
WASP-63  0.38 0.19 0.42 0.13  0.38  0.19 0.41 0.16 0.41 0.16
HAT-P-43 0.36 0.19 0.42 0.14  0.38  0.18 0.41 0.15 0.41 0.15
K2-261   0.28 0.36 0.28 0.36  0.28  0.36 0.28 0.36 0.28 0.36
HATS-2   0.43 0.16 0.45 0.13  0.44  0.16 0.44 0.15 0.44 0.15
WASP-117 0.31 0.21 0.37 0.16  0.30  0.21 0.38 0.16 0.38 0.16
HAT-P-66 0.31 0.22 0.40 0.13  0.31  0.21 0.39 0.16 0.39 0.16
WASP-46  0.35 0.21 0.39 0.16  0.34  0.21 0.40 0.16 0.40 0.16
Qatar-1  0.47 0.14 0.46 0.13  0.47  0.15 0.46 0.15 0.46 0.15
HATS-34  0.38 0.21 0.43 0.14  0.40  0.19 0.40 0.19 0.40 0.19
WASP-138 0.28 0.21 0.35 0.16  0.28  0.21 0.36 0.16 0.36 0.16
WASP-29  0.51 0.12 0.50 0.11  0.50  0.12 0.50 0.12 0.50 0.12
WASP-131 0.23 0.30 0.40 0.12  0.23  0.30 0.37 0.17 0.37 0.17
WASP-83  0.40 0.18 0.42 0.14  0.40  0.18 0.42 0.15 0.42 0.15
HATS-18  0.40 0.18 0.41 0.14  0.39  0.19 0.41 0.15 0.41 0.15
HATS-51  0.34 0.21 0.41 0.14  0.34  0.20 0.40 0.16 0.40 0.16
KELT-14  0.33 0.24 0.41 0.14  0.34  0.23 0.35 0.22 0.35 0.22
